university,course_name,annual_fees,admission_mode,duration
Kyoto University,MSc Mechanical Engineering,32301,GRE,2 years
University of Tokyo,MBA,51173,University Exam,1 year
Manipal Academy of Higher Education,MTech Computer Science,13426,Entrance Exam,1 year
Nanyang Technological University,MSc Business Analytics,37806,GATE,2 years
University of Oxford,MSc Chemistry,59870,GRE,2 years
Harvard University,MSc Electrical Engineering,57599,GRE,2 years
Chulalongkorn University,MSc Chemistry,29782,University Exam,1 year
IIT Delhi,MSc Biotechnology,14872,Entrance Exam,1 year
Indian Institute of Science,MSc Electrical Engineering,37187,University Exam,2 years
Vietnam National University Hanoi,MSc Chemistry,35446,Merit Based,1 year
Manipal Academy of Higher Education,MBA,19656,GATE,1 year
Vietnam National University Hanoi,MSc Artificial Intelligence,22392,GRE,2 years
Manipal Academy of Higher Education,MSc Artificial Intelligence,39504,Merit Based,1 year
Mahidol University,MSc Computer Science,29972,Interview + Test,2 years
Anna University,MSc Business Analytics,23651,Interview + Test,2 years
Nanyang Technological University,MSc Mechanical Engineering,54399,GRE,2 years
Anna University,MSc Artificial Intelligence,56745,University Exam,1 year
Mahidol University,MSc Business Analytics,27476,Merit Based,1 year
ETH Zurich,MSc Electrical Engineering,42208,University Exam,1 year
Anna University,MCA,26685,GATE,2 years
University of Delhi,MSc Civil Engineering,44905,Interview + Test,1 year
IIT Madras,MSc Civil Engineering,39967,GRE,2 years
Massachusetts Institute of Technology,MSc Civil Engineering,31657,GATE,1 year
IIT Bombay,MSc Mechanical Engineering,36242,Entrance Exam,1 year
Chulalongkorn University,MSc Chemistry,11532,Merit Based,1 year
Massachusetts Institute of Technology,MTech Computer Science,15049,Entrance Exam,1 year
Technical University of Munich,MSc Data Science,35667,GRE,1 year
IIT Delhi,MSc Physics,40990,GRE,1 year
National University of Singapore,MSc Computer Science,56187,Interview + Test,2 years
University of Tokyo,MSc Biotechnology,52038,GATE,1 year
Harvard University,MSc Artificial Intelligence,54684,GRE,1 year
University of Tokyo,MBA,40869,GATE,2 years
University of Tokyo,MCA,16777,Interview + Test,2 years
IIT Delhi,MSc Electrical Engineering,56695,University Exam,2 years
University of Delhi,MBA,13215,Merit Based,1 year
Kyoto University,MSc Electrical Engineering,51305,Entrance Exam,2 years
Technical University of Munich,MSc Chemistry,29827,GATE,1 year
Vietnam National University Hanoi,MSc Physics,48970,Merit Based,1 year
Mahidol University,MBA,59739,University Exam,1 year
Nanyang Technological University,MSc Cyber Security,9884,Interview + Test,2 years
Massachusetts Institute of Technology,MSc Business Analytics,20001,Entrance Exam,2 years
Mahidol University,MSc Chemistry,14928,Interview + Test,1 year
Nanyang Technological University,MSc Data Science,33191,GRE,2 years
University of Oxford,MSc Biotechnology,14807,University Exam,2 years
Technical University of Munich,MSc Mechanical Engineering,47835,Entrance Exam,2 years
Kyoto University,MSc Biotechnology,53966,GATE,2 years
Technical University of Munich,MSc Cyber Security,35131,GATE,1 year
University of Oxford,MSc Mechanical Engineering,18226,University Exam,2 years
ETH Zurich,MSc Software Engineering,11085,University Exam,1 year
IIT Madras,MSc Mechanical Engineering,49402,University Exam,1 year
Harvard University,MSc Biotechnology,37357,Entrance Exam,2 years
IIT Delhi,MCA,38732,Entrance Exam,1 year
Vietnam National University Hanoi,MSc Electrical Engineering,23722,Entrance Exam,2 years
Technical University of Munich,MSc Artificial Intelligence,45825,Interview + Test,2 years
Massachusetts Institute of Technology,MSc Mechanical Engineering,54787,GRE,1 year
Vietnam National University Hanoi,MSc Electrical Engineering,20897,University Exam,1 year
Manipal Academy of Higher Education,MSc Artificial Intelligence,24914,University Exam,1 year
Stanford University,MBA,36476,Merit Based,2 years
Stanford University,MSc Data Science,47949,University Exam,2 years
University of Oxford,MSc Electrical Engineering,32865,GRE,1 year
Kyoto University,MSc Business Analytics,56381,Merit Based,2 years
IIT Madras,MSc Artificial Intelligence,27460,Entrance Exam,2 years
National University of Singapore,MSc Software Engineering,48041,Merit Based,1 year
University of Cambridge,MSc Civil Engineering,57952,Interview + Test,1 year
Harvard University,MSc Civil Engineering,13456,Entrance Exam,1 year
Massachusetts Institute of Technology,MSc Civil Engineering,46432,Interview + Test,1 year
University of Cambridge,MSc Data Science,29143,GRE,1 year
University of Tokyo,MSc Computer Science,40032,Interview + Test,2 years
IIT Bombay,MSc Electrical Engineering,55091,GATE,2 years
University of Oxford,MSc Machine Learning,48431,Interview + Test,1 year
Technical University of Munich,MTech Computer Science,57395,Merit Based,1 year
Technical University of Munich,MSc Electrical Engineering,31997,GATE,2 years
IIT Delhi,MSc Cyber Security,43682,Merit Based,2 years
Mahidol University,MTech Computer Science,33441,Interview + Test,2 years
University of Oxford,MSc Chemistry,40480,Interview + Test,2 years
Nanyang Technological University,MSc Physics,34496,University Exam,1 year
Vietnam National University Hanoi,MSc Physics,24234,GATE,2 years
National University of Singapore,MSc Artificial Intelligence,36045,GRE,2 years
University of Delhi,MSc Civil Engineering,27813,GATE,1 year
Massachusetts Institute of Technology,MSc Biotechnology,42324,Interview + Test,2 years
ETH Zurich,MSc Mechanical Engineering,56190,GATE,2 years
IIT Madras,MCA,17738,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Mathematics,52451,Merit Based,1 year
Harvard University,MSc Software Engineering,24769,GRE,1 year
Harvard University,MSc Business Analytics,52805,University Exam,2 years
Nanyang Technological University,MSc Artificial Intelligence,42019,University Exam,1 year
Harvard University,MSc Chemistry,38067,Merit Based,2 years
Harvard University,MSc Cyber Security,27259,Interview + Test,1 year
University of Delhi,MSc Mechanical Engineering,29654,GATE,1 year
University of Tokyo,MSc Mechanical Engineering,9322,GATE,2 years
Indian Institute of Science,MSc Data Science,17952,GRE,2 years
Stanford University,MTech Computer Science,37543,Entrance Exam,1 year
National University of Singapore,MTech Computer Science,13104,GATE,1 year
University of Delhi,MSc Electrical Engineering,12119,GATE,1 year
Chulalongkorn University,MSc Cyber Security,58419,GRE,1 year
Vietnam National University Hanoi,MSc Physics,19380,University Exam,2 years
IIT Delhi,MSc Business Analytics,11735,Interview + Test,1 year
IIT Madras,MSc Data Science,48836,GATE,2 years
Harvard University,MSc Mathematics,47749,GRE,1 year
Mahidol University,MSc Software Engineering,39566,GATE,1 year
Vietnam National University Hanoi,MCA,54065,Merit Based,2 years
University of Oxford,MSc Artificial Intelligence,8684,Entrance Exam,1 year
Vietnam National University Hanoi,MSc Machine Learning,28405,Merit Based,1 year
University of Oxford,MSc Mathematics,39002,Interview + Test,2 years
National University of Singapore,MSc Mathematics,56349,Interview + Test,2 years
Harvard University,MSc Data Science,36048,University Exam,1 year
Kyoto University,MBA,18859,Merit Based,2 years
IIT Delhi,MSc Artificial Intelligence,23198,University Exam,1 year
University of Delhi,MSc Biotechnology,28242,University Exam,1 year
Vietnam National University Hanoi,MSc Chemistry,24446,Entrance Exam,1 year
Nanyang Technological University,MBA,11443,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Mechanical Engineering,11154,Entrance Exam,1 year
Massachusetts Institute of Technology,MSc Machine Learning,36125,Interview + Test,2 years
IIT Delhi,MSc Computer Science,37619,GATE,1 year
Technical University of Munich,MCA,40947,Interview + Test,1 year
IIT Madras,MSc Biotechnology,12258,Merit Based,1 year
Kyoto University,MSc Business Analytics,30938,Interview + Test,1 year
ETH Zurich,MSc Civil Engineering,50520,GRE,1 year
Mahidol University,MBA,35057,GATE,1 year
Technical University of Munich,MSc Physics,36110,GATE,1 year
University of Cambridge,MSc Biotechnology,18542,Merit Based,1 year
Nanyang Technological University,MTech Computer Science,43231,GRE,1 year
University of Delhi,MSc Mechanical Engineering,44414,Merit Based,1 year
IIT Madras,MSc Biotechnology,27073,Entrance Exam,1 year
IIT Madras,MBA,39070,Entrance Exam,2 years
IIT Bombay,MSc Electrical Engineering,56727,GATE,2 years
Indian Institute of Science,MCA,10915,GATE,1 year
Chulalongkorn University,MCA,9764,Entrance Exam,1 year
Chulalongkorn University,MSc Mathematics,43229,GRE,1 year
Chulalongkorn University,MSc Mechanical Engineering,53863,Interview + Test,1 year
Technical University of Munich,MSc Data Science,34994,Interview + Test,2 years
University of Cambridge,MSc Mechanical Engineering,27862,GATE,1 year
Stanford University,MTech Computer Science,33494,University Exam,2 years
ETH Zurich,MSc Civil Engineering,50671,Interview + Test,2 years
ETH Zurich,MSc Electrical Engineering,52309,Entrance Exam,1 year
ETH Zurich,MSc Biotechnology,51990,Interview + Test,1 year
University of Delhi,MSc Artificial Intelligence,49377,Merit Based,2 years
Indian Institute of Science,MSc Biotechnology,37734,Entrance Exam,1 year
IIT Bombay,MSc Biotechnology,42501,GRE,2 years
University of Tokyo,MSc Mathematics,17070,Entrance Exam,2 years
Kyoto University,MSc Chemistry,15906,GATE,2 years
ETH Zurich,MSc Computer Science,35999,University Exam,1 year
ETH Zurich,MSc Business Analytics,34396,GATE,1 year
Stanford University,MSc Software Engineering,35061,Merit Based,1 year
University of Cambridge,MSc Software Engineering,43048,Merit Based,1 year
University of Oxford,MSc Cyber Security,56952,Interview + Test,1 year
Kyoto University,MSc Physics,17793,Entrance Exam,2 years
Harvard University,MSc Business Analytics,16060,University Exam,1 year
University of Cambridge,MBA,56405,Entrance Exam,2 years
Nanyang Technological University,MSc Computer Science,29979,Entrance Exam,1 year
Chulalongkorn University,MSc Data Science,27240,Interview + Test,1 year
IIT Bombay,MCA,12655,GATE,2 years
Vietnam National University Hanoi,MSc Software Engineering,12229,Merit Based,1 year
IIT Delhi,MSc Physics,47475,Entrance Exam,2 years
Chulalongkorn University,MSc Biotechnology,29028,GRE,2 years
University of Tokyo,MSc Computer Science,21585,Merit Based,2 years
Technical University of Munich,MCA,19586,Merit Based,2 years
Manipal Academy of Higher Education,MSc Civil Engineering,59215,Merit Based,1 year
Indian Institute of Science,MSc Artificial Intelligence,8129,Merit Based,1 year
University of Tokyo,MSc Cyber Security,41883,Entrance Exam,1 year
Technical University of Munich,MSc Data Science,35266,GRE,2 years
IIT Madras,MSc Cyber Security,22414,University Exam,2 years
Chulalongkorn University,MTech Computer Science,40009,University Exam,1 year
National University of Singapore,MSc Machine Learning,30891,GATE,1 year
ETH Zurich,MSc Machine Learning,10383,GRE,2 years
University of Cambridge,MSc Computer Science,29236,GATE,1 year
IIT Madras,MSc Cyber Security,11937,Merit Based,2 years
Mahidol University,MSc Mathematics,23283,Interview + Test,1 year
University of Cambridge,MSc Computer Science,47389,Entrance Exam,1 year
Mahidol University,MSc Artificial Intelligence,36605,Entrance Exam,2 years
IIT Madras,MSc Chemistry,40215,GRE,2 years
Technical University of Munich,MCA,25302,Entrance Exam,2 years
University of Delhi,MCA,17457,University Exam,1 year
IIT Madras,MSc Biotechnology,15290,Merit Based,2 years
Kyoto University,MSc Chemistry,34549,GATE,1 year
IIT Delhi,MSc Data Science,45923,University Exam,1 year
Manipal Academy of Higher Education,MSc Mathematics,55866,GRE,1 year
Anna University,MSc Artificial Intelligence,29044,GATE,2 years
Technical University of Munich,MSc Artificial Intelligence,34907,GRE,1 year
Stanford University,MSc Chemistry,38029,Interview + Test,1 year
Mahidol University,MSc Computer Science,41840,University Exam,2 years
Kyoto University,MSc Physics,48654,GRE,1 year
Harvard University,MSc Software Engineering,57895,Entrance Exam,1 year
University of Oxford,MSc Electrical Engineering,18023,Entrance Exam,1 year
Kyoto University,MSc Biotechnology,24256,Entrance Exam,1 year
Stanford University,MTech Computer Science,31268,Merit Based,2 years
University of Oxford,MSc Physics,15915,GRE,1 year
ETH Zurich,MSc Electrical Engineering,11996,GATE,1 year
Chulalongkorn University,MSc Artificial Intelligence,16139,Merit Based,2 years
IIT Bombay,MSc Electrical Engineering,55881,University Exam,2 years
IIT Bombay,MSc Artificial Intelligence,30779,GATE,2 years
University of Delhi,MTech Computer Science,52051,University Exam,2 years
Chulalongkorn University,MBA,45713,GRE,1 year
ETH Zurich,MSc Business Analytics,44248,GRE,1 year
University of Delhi,MSc Cyber Security,18442,Interview + Test,2 years
Stanford University,MSc Business Analytics,29239,GRE,1 year
Anna University,MSc Electrical Engineering,41150,Entrance Exam,2 years
Massachusetts Institute of Technology,MSc Mathematics,55964,Interview + Test,1 year
ETH Zurich,MSc Software Engineering,34721,University Exam,1 year
University of Oxford,MSc Physics,36279,GRE,2 years
IIT Bombay,MSc Data Science,49167,Interview + Test,1 year
ETH Zurich,MSc Computer Science,20554,Merit Based,1 year
Anna University,MSc Mechanical Engineering,40584,Merit Based,2 years
ETH Zurich,MSc Biotechnology,16324,University Exam,2 years
Massachusetts Institute of Technology,MTech Computer Science,10485,GRE,2 years
ETH Zurich,MSc Mathematics,49634,GATE,1 year
Anna University,MSc Machine Learning,11804,University Exam,1 year
National University of Singapore,MTech Computer Science,54863,GRE,1 year
IIT Bombay,MSc Software Engineering,47085,GATE,1 year
National University of Singapore,MSc Mechanical Engineering,43572,Entrance Exam,2 years
University of Tokyo,MSc Cyber Security,30594,University Exam,2 years
Mahidol University,MSc Software Engineering,36387,Entrance Exam,2 years
University of Delhi,MCA,39497,University Exam,1 year
Technical University of Munich,MSc Physics,28798,GATE,2 years
Technical University of Munich,MSc Cyber Security,25662,Entrance Exam,2 years
ETH Zurich,MSc Software Engineering,19789,University Exam,2 years
IIT Delhi,MSc Mechanical Engineering,31446,GATE,1 year
University of Tokyo,MSc Mathematics,28434,GRE,1 year
ETH Zurich,MSc Cyber Security,42197,University Exam,2 years
IIT Bombay,MSc Artificial Intelligence,45753,University Exam,1 year
Harvard University,MSc Software Engineering,35833,Interview + Test,1 year
Mahidol University,MSc Biotechnology,53677,Entrance Exam,2 years
Manipal Academy of Higher Education,MSc Electrical Engineering,13573,Entrance Exam,2 years
University of Delhi,MSc Chemistry,33317,GRE,2 years
University of Tokyo,MSc Biotechnology,56346,Merit Based,2 years
Mahidol University,MSc Software Engineering,44057,Entrance Exam,2 years
University of Cambridge,MTech Computer Science,10983,Interview + Test,2 years
National University of Singapore,MSc Chemistry,13965,GRE,2 years
University of Delhi,MSc Biotechnology,58945,GRE,2 years
Mahidol University,MSc Business Analytics,44134,GRE,1 year
IIT Delhi,MTech Computer Science,42808,GRE,2 years
University of Delhi,MCA,47231,GATE,1 year
University of Delhi,MSc Civil Engineering,54983,GATE,1 year
University of Delhi,MCA,57474,GATE,2 years
Indian Institute of Science,MSc Cyber Security,55578,GATE,1 year
IIT Delhi,MBA,55787,Interview + Test,2 years
Vietnam National University Hanoi,MSc Computer Science,14872,GRE,2 years
IIT Bombay,MSc Data Science,41251,Entrance Exam,2 years
Vietnam National University Hanoi,MSc Electrical Engineering,9709,GRE,2 years
ETH Zurich,MSc Artificial Intelligence,11557,GRE,2 years
Kyoto University,MSc Chemistry,25703,University Exam,1 year
Massachusetts Institute of Technology,MCA,54568,GRE,2 years
University of Delhi,MSc Software Engineering,35866,University Exam,2 years
Nanyang Technological University,MSc Chemistry,16465,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Electrical Engineering,17294,GRE,2 years
IIT Madras,MSc Cyber Security,23843,Merit Based,1 year
University of Oxford,MSc Civil Engineering,18993,GRE,2 years
Manipal Academy of Higher Education,MSc Artificial Intelligence,49941,University Exam,2 years
Technical University of Munich,MTech Computer Science,37509,Interview + Test,2 years
Massachusetts Institute of Technology,MSc Chemistry,25776,University Exam,2 years
IIT Delhi,MSc Machine Learning,23596,Entrance Exam,1 year
Vietnam National University Hanoi,MTech Computer Science,20204,GATE,1 year
Technical University of Munich,MSc Chemistry,40704,Entrance Exam,2 years
IIT Madras,MTech Computer Science,35021,Interview + Test,2 years
IIT Delhi,MSc Biotechnology,25182,University Exam,1 year
Mahidol University,MSc Biotechnology,58335,GATE,1 year
ETH Zurich,MBA,10696,GRE,1 year
IIT Bombay,MSc Chemistry,31273,Entrance Exam,2 years
University of Oxford,MSc Mathematics,54622,Interview + Test,2 years
Chulalongkorn University,MSc Data Science,17169,Entrance Exam,2 years
University of Cambridge,MSc Civil Engineering,19380,GRE,1 year
Nanyang Technological University,MSc Computer Science,24694,Entrance Exam,2 years
Vietnam National University Hanoi,MCA,40190,Merit Based,1 year
Kyoto University,MSc Mathematics,31890,GATE,2 years
Stanford University,MSc Biotechnology,44540,Merit Based,1 year
IIT Madras,MSc Chemistry,30313,Interview + Test,2 years
University of Cambridge,MSc Civil Engineering,10948,University Exam,2 years
Indian Institute of Science,MSc Business Analytics,8728,Merit Based,1 year
University of Delhi,MSc Artificial Intelligence,43865,University Exam,1 year
University of Cambridge,MSc Mathematics,25234,Entrance Exam,1 year
ETH Zurich,MBA,25446,Entrance Exam,2 years
Massachusetts Institute of Technology,MSc Cyber Security,14287,Merit Based,1 year
National University of Singapore,MSc Electrical Engineering,57497,Merit Based,2 years
Technical University of Munich,MSc Civil Engineering,30264,Merit Based,2 years
Harvard University,MCA,18427,GRE,2 years
ETH Zurich,MSc Data Science,54632,GATE,1 year
Chulalongkorn University,MCA,12353,Entrance Exam,2 years
Nanyang Technological University,MSc Biotechnology,40538,University Exam,2 years
Technical University of Munich,MTech Computer Science,9457,GATE,1 year
ETH Zurich,MSc Mechanical Engineering,30757,University Exam,1 year
ETH Zurich,MSc Physics,24644,University Exam,2 years
Mahidol University,MSc Software Engineering,12052,GRE,2 years
University of Tokyo,MSc Physics,18912,GATE,1 year
Stanford University,MTech Computer Science,55992,Merit Based,2 years
IIT Madras,MSc Biotechnology,59295,GATE,1 year
Stanford University,MSc Mathematics,50285,Interview + Test,1 year
University of Oxford,MSc Artificial Intelligence,56146,GRE,1 year
Manipal Academy of Higher Education,MSc Business Analytics,40942,Entrance Exam,2 years
IIT Madras,MBA,52243,GRE,2 years
Indian Institute of Science,MSc Machine Learning,12545,Entrance Exam,1 year
University of Delhi,MSc Electrical Engineering,52489,Merit Based,1 year
Chulalongkorn University,MTech Computer Science,20545,GATE,1 year
ETH Zurich,MSc Mechanical Engineering,24710,GRE,2 years
Manipal Academy of Higher Education,MSc Biotechnology,19262,Entrance Exam,1 year
Harvard University,MSc Physics,33327,Interview + Test,2 years
Mahidol University,MSc Electrical Engineering,38537,University Exam,1 year
Stanford University,MSc Civil Engineering,42391,GATE,1 year
Manipal Academy of Higher Education,MSc Chemistry,16797,University Exam,1 year
ETH Zurich,MSc Electrical Engineering,12940,GRE,2 years
ETH Zurich,MTech Computer Science,10243,University Exam,1 year
University of Delhi,MSc Data Science,18188,University Exam,1 year
Harvard University,MSc Physics,16011,Entrance Exam,2 years
IIT Bombay,MCA,20028,GRE,1 year
IIT Madras,MSc Computer Science,36858,GATE,1 year
Manipal Academy of Higher Education,MSc Mechanical Engineering,37110,GATE,2 years
Indian Institute of Science,MCA,51290,GATE,1 year
University of Tokyo,MSc Cyber Security,28200,University Exam,1 year
Kyoto University,MSc Artificial Intelligence,47377,Merit Based,1 year
Harvard University,MSc Chemistry,43946,GRE,1 year
Kyoto University,MSc Artificial Intelligence,9238,University Exam,1 year
University of Oxford,MSc Physics,57174,Merit Based,1 year
Kyoto University,MSc Mechanical Engineering,44604,Merit Based,2 years
University of Cambridge,MSc Business Analytics,58263,Merit Based,1 year
Nanyang Technological University,MSc Biotechnology,58084,University Exam,2 years
University of Tokyo,MSc Biotechnology,27344,Interview + Test,2 years
Harvard University,MTech Computer Science,48146,GATE,2 years
Vietnam National University Hanoi,MSc Mechanical Engineering,10696,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Mathematics,37845,GRE,1 year
Massachusetts Institute of Technology,MSc Business Analytics,56432,Entrance Exam,1 year
ETH Zurich,MTech Computer Science,8861,Merit Based,1 year
IIT Delhi,MSc Software Engineering,12733,GATE,2 years
University of Cambridge,MSc Civil Engineering,45207,GATE,1 year
Mahidol University,MBA,40625,Interview + Test,2 years
Vietnam National University Hanoi,MSc Business Analytics,9684,GRE,1 year
Technical University of Munich,MSc Business Analytics,18549,Entrance Exam,2 years
Chulalongkorn University,MSc Cyber Security,18287,Interview + Test,2 years
National University of Singapore,MSc Artificial Intelligence,19284,GRE,1 year
Technical University of Munich,MSc Mechanical Engineering,50611,Entrance Exam,2 years
IIT Madras,MSc Biotechnology,49297,Entrance Exam,1 year
IIT Delhi,MSc Machine Learning,47896,Entrance Exam,2 years
Stanford University,MSc Chemistry,32814,Entrance Exam,2 years
IIT Bombay,MSc Artificial Intelligence,54007,Merit Based,1 year
Kyoto University,MSc Software Engineering,43640,University Exam,2 years
Nanyang Technological University,MSc Cyber Security,43400,Merit Based,1 year
University of Tokyo,MSc Physics,11418,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Electrical Engineering,44502,Interview + Test,2 years
National University of Singapore,MSc Mathematics,31201,Merit Based,1 year
Anna University,MSc Mathematics,55254,GRE,2 years
IIT Bombay,MSc Mechanical Engineering,38876,Interview + Test,2 years
Stanford University,MSc Machine Learning,28202,GRE,2 years
Kyoto University,MSc Biotechnology,30794,Merit Based,1 year
Mahidol University,MSc Electrical Engineering,37334,University Exam,2 years
Mahidol University,MSc Chemistry,46359,GATE,2 years
University of Cambridge,MSc Biotechnology,39728,GRE,2 years
Harvard University,MSc Physics,31432,GRE,1 year
Manipal Academy of Higher Education,MSc Business Analytics,52586,Merit Based,2 years
Indian Institute of Science,MSc Cyber Security,50631,University Exam,2 years
Vellore Institute of Technology (VIT),B.Tech Computer Science,15000,Entrance Exam (VITEEE),4 years
Vellore Institute of Technology (VIT),MBA,12000,Entrance Exam,2 years
Manipal Academy of Higher Education (MAHE),MBBS,30000,NEET,5.5 years
Manipal Academy of Higher Education (MAHE),B.Tech Information Technology,18000,Entrance Exam (MET),4 years
BITS Pilani,B.E. Computer Science,28000,BITSAT,4 years
BITS Pilani,M.Sc. Economics,25000,BITSAT,4 years
SRM Institute of Science and Technology,B.Tech Electrical Engineering,14000,SRMJEEE,4 years
Amity University,BBA,8000,Merit Based,3 years
Amity University,B.Tech Artificial Intelligence,16000,Merit Based,4 years
University of Mesa,B.A. Economics,18811,Merit Based,3 or 4 years
University of Mesa,B.Sc Physics,11374,Merit Based,3 or 4 years
University of Mesa,MBA,43827,GMAT/GRE/Entrance,2 years
San Diego State University,B.Sc Physics,8583,Merit Based,3 or 4 years
San Diego State University,MD / Medical Degree,57397,MCAT/Equivalent,5+ years
San Diego State University,M.Sc Data Science,33925,Entrance/GRE,2 years
Oakland State University,B.Sc Physics,14127,Merit Based,3 or 4 years
Oakland State University,MBA,28445,GMAT/GRE/Entrance,2 years
Oakland State University,MS Artificial Intelligence,15344,Entrance Exam,2 years
Oakland State University,B.Tech Computer Science,24184,Entrance Exam,4 years
Montana State University,B.Sc Physics,15770,Merit Based,3 or 4 years
Montana State University,M.Sc Data Science,22139,Entrance/GRE,2 years
Montana State University,B.A. Economics,12960,Merit Based,3 or 4 years
University of Colorado Springs,MS Artificial Intelligence,17600,Entrance Exam,2 years
University of Colorado Springs,BBA,22892,Merit Based,3 or 4 years
University of Colorado Springs,M.Sc Data Science,30458,Entrance/GRE,2 years
University of Colorado Springs,B.Sc Physics,16054,Merit Based,3 or 4 years
Georgia State University,M.Sc Data Science,33402,Entrance/GRE,2 years
Georgia State University,B.A. Economics,13674,Merit Based,3 or 4 years
Georgia State University,MBA,37967,GMAT/GRE/Entrance,2 years
Georgia State University,BBA,12391,Merit Based,3 or 4 years
University of Fresno,MS Artificial Intelligence,14023,Entrance Exam,2 years
University of Fresno,MD / Medical Degree,30995,MCAT/Equivalent,5+ years
University of Fresno,B.A. Economics,15575,Merit Based,3 or 4 years
University of Fresno,B.Sc Physics,12524,Merit Based,3 or 4 years
University of Fresno,M.Sc Data Science,33229,Entrance/GRE,2 years
Delaware State University,B.Tech Computer Science,15195,Entrance Exam,4 years
Delaware State University,B.A. Economics,9084,Merit Based,3 or 4 years
Delaware State University,BBA,13011,Merit Based,3 or 4 years
Delaware State University,MS Artificial Intelligence,15048,Entrance Exam,2 years
Delaware State University,MBA,25362,GMAT/GRE/Entrance,2 years
Nebraska State University,M.Sc Data Science,24480,Entrance/GRE,2 years
Nebraska State University,B.Sc Physics,10413,Merit Based,3 or 4 years
Nebraska State University,MS Artificial Intelligence,31821,Entrance Exam,2 years
University of Fort Worth,M.Sc Data Science,22684,Entrance/GRE,2 years
University of Fort Worth,MD / Medical Degree,32726,MCAT/Equivalent,5+ years
University of Fort Worth,BBA,23559,Merit Based,3 or 4 years
University of Oklahoma,BBA,10284,Merit Based,3 or 4 years
University of Oklahoma,MS Artificial Intelligence,27661,Entrance Exam,2 years
University of Oklahoma,B.A. Economics,15911,Merit Based,3 or 4 years
Milwaukee International University,M.Sc Data Science,17647,Entrance/GRE,2 years
Milwaukee International University,MBA,35530,GMAT/GRE/Entrance,2 years
Milwaukee International University,B.Tech Computer Science,22769,Entrance Exam,4 years
Philadelphia Institute of Technology,MD / Medical Degree,50105,MCAT/Equivalent,5+ years
Philadelphia Institute of Technology,B.Sc Physics,16057,Merit Based,3 or 4 years
Philadelphia Institute of Technology,MBA,23311,GMAT/GRE/Entrance,2 years
University of New Hampshire,M.Sc Data Science,15467,Entrance/GRE,2 years
University of New Hampshire,BBA,14004,Merit Based,3 or 4 years
University of New Hampshire,B.A. Economics,21240,Merit Based,3 or 4 years
University of Wyoming,MBA,47666,GMAT/GRE/Entrance,2 years
University of Wyoming,B.Tech Computer Science,25040,Entrance Exam,4 years
University of Wyoming,MD / Medical Degree,69543,MCAT/Equivalent,5+ years
University of Wyoming,M.Sc Data Science,12202,Entrance/GRE,2 years
University of Charlotte,B.A. Economics,13154,Merit Based,3 or 4 years
University of Charlotte,M.Sc Data Science,15685,Entrance/GRE,2 years
University of Charlotte,B.Sc Physics,8429,Merit Based,3 or 4 years
University of Charlotte,MS Artificial Intelligence,16404,Entrance Exam,2 years
Florida State University,MS Artificial Intelligence,26984,Entrance Exam,2 years
Florida State University,BBA,14437,Merit Based,3 or 4 years
Florida State University,B.Tech Computer Science,27495,Entrance Exam,4 years
North Carolina State University,B.Sc Physics,12702,Merit Based,3 or 4 years
North Carolina State University,MBA,33628,GMAT/GRE/Entrance,2 years
North Carolina State University,BBA,18949,Merit Based,3 or 4 years
North Carolina State University,B.Tech Computer Science,27615,Entrance Exam,4 years
University of Philadelphia,M.Sc Data Science,21308,Entrance/GRE,2 years
University of Philadelphia,MS Artificial Intelligence,27507,Entrance Exam,2 years
University of Philadelphia,B.A. Economics,19962,Merit Based,3 or 4 years
University of Philadelphia,BBA,12887,Merit Based,3 or 4 years
New York State University,B.Sc Physics,9486,Merit Based,3 or 4 years
New York State University,BBA,11289,Merit Based,3 or 4 years
New York State University,MD / Medical Degree,57873,MCAT/Equivalent,5+ years
New York State University,B.Tech Computer Science,18544,Entrance Exam,4 years
Washington State University,MBA,46368,GMAT/GRE/Entrance,2 years
Washington State University,MD / Medical Degree,32378,MCAT/Equivalent,5+ years
Washington State University,M.Sc Data Science,27248,Entrance/GRE,2 years
Washington State University,B.Tech Computer Science,24480,Entrance Exam,4 years
Washington State University,B.Sc Physics,10908,Merit Based,3 or 4 years
Miami State University,B.A. Economics,12902,Merit Based,3 or 4 years
Miami State University,MS Artificial Intelligence,31340,Entrance Exam,2 years
Miami State University,MD / Medical Degree,46341,MCAT/Equivalent,5+ years
Miami State University,M.Sc Data Science,33031,Entrance/GRE,2 years
University of Nashville,MBA,41049,GMAT/GRE/Entrance,2 years
University of Nashville,MS Artificial Intelligence,17174,Entrance Exam,2 years
University of Nashville,BBA,11921,Merit Based,3 or 4 years
Oklahoma City Global University,MD / Medical Degree,36993,MCAT/Equivalent,5+ years
Oklahoma City Global University,MS Artificial Intelligence,16013,Entrance Exam,2 years
Oklahoma City Global University,M.Sc Data Science,26905,Entrance/GRE,2 years
Oklahoma City Global University,MBA,25000,GMAT/GRE/Entrance,2 years
University of West Virginia,B.A. Economics,9931,Merit Based,3 or 4 years
University of West Virginia,B.Tech Computer Science,18726,Entrance Exam,4 years
