name,location,university_type,accreditation,ranking_score,actual_location
California Institute of Technology,USA,Private,WASC,6.66,"Pasadena, California, USA"
Hokkaido University,Japan,Public,MEXT,9.28,"Sapporo, Japan"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.09,"Coimbatore, Tamil Nadu, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.66,"Coimbatore, Tamil Nadu, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.24,"Coimbatore, Tamil Nadu, India"
Yale University,USA,Private,NECHE,9.85,"New Haven, Connecticut, USA"
Jadavpur University,India,Public,NAAC A,7.36,"Kolkata, West Bengal, India"
Princeton University,USA,Private,MSCHE,6.65,"Princeton, New Jersey, USA"
University of Hyderabad,India,Public,NAAC A,8.96,"Hyderabad, Telangana, India"
Kyoto University,Japan,Public,MEXT,6.67,"Kyoto, Japan"
Kyushu University,Japan,Public,MEXT,7.36,"Fukuoka, Japan"
Thammasat University,Thailand,Public,ONESQA,6.84,"Bangkok, Thailand"
Hokkaido University,Japan,Public,MEXT,9.01,"Sapporo, Japan"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,9.39,"Munich, Germany"
Nagoya University,Japan,Public,MEXT,7.35,"Nagoya, Japan"
Tohoku University,Japan,Public,MEXT,9.42,"Sendai, Japan"
Nagoya University,Japan,Public,MEXT,7.29,"Nagoya, Japan"
Heidelberg University,Germany,Public,German Accreditation Council,9.13,"Heidelberg, Germany"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,9.34,"Bangkok, Thailand"
University of Manchester,United Kingdom,Public,QAA,9.42,"Manchester, England, UK"
Indian Institute of Technology Roorkee,India,Public,NAAC A,9.48,"Roorkee, Uttarakhand, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,9.17,"Lausanne, Switzerland"
University College London,United Kingdom,Public,QAA,7.33,"London, England, UK"
University of Cambridge,United Kingdom,Public,QAA,7.37,"Cambridge, England, UK"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,9.39,"Ho Chi Minh City, Vietnam"
Carnegie Mellon University,USA,Private,MSCHE,9.37,"Pittsburgh, Pennsylvania, USA"
University of Hyderabad,India,Public,NAAC A,9.82,"Hyderabad, Telangana, India"
University of Manchester,United Kingdom,Public,QAA,6.57,"Manchester, England, UK"
Indian Institute of Technology Delhi,India,Public,NAAC A,7.44,"New Delhi, India"
Indian Institute of Technology Roorkee,India,Public,NAAC A,7.65,"Roorkee, Uttarakhand, India"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,8.85,"Bangkok, Thailand"
King's College London,United Kingdom,Public,QAA,9.37,"London, England, UK"
Osaka University,Japan,Public,MEXT,7.08,"Osaka, Japan"
University of Hyderabad,India,Public,NAAC A,7.85,"Hyderabad, Telangana, India"
University of Edinburgh,United Kingdom,Public,QAA,8.78,"Edinburgh, Scotland, UK"
Nagoya University,Japan,Public,MEXT,9.12,"Nagoya, Japan"
University of Delhi,India,Public,NAAC A+,7.57,"New Delhi, India"
Nagoya University,Japan,Public,MEXT,8.22,"Nagoya, Japan"
Georgia Institute of Technology,USA,Public,SACSCOC,7.5,"Atlanta, Georgia, USA"
University of Tokyo,Japan,Public,MEXT,9.4,"Tokyo, Japan"
Georgia Institute of Technology,USA,Public,SACSCOC,6.79,"Atlanta, Georgia, USA"
Christ University,India,Private,NAAC A+,8.07,"Bengaluru, Karnataka, India"
University of Oxford,United Kingdom,Public,QAA,7.87,"Oxford, England, UK"
Kyoto University,Japan,Public,MEXT,7.42,"Kyoto, Japan"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,8.78,"Zurich, Switzerland"
Columbia University,USA,Private,MSCHE,8.85,"New York City, New York, USA"
Stanford University,USA,Private,WASC,7.99,"Stanford, California, USA"
Indian Institute of Technology Roorkee,India,Public,NAAC A,9.43,"Roorkee, Uttarakhand, India"
London School of Economics,United Kingdom,Public,QAA,8.0,"London, England, UK"
University of Texas Austin,USA,Public,SACSCOC,9.0,"Austin, Texas, USA"
Mahidol University,Thailand,Public,ONESQA,7.32,"Nakhon Pathom, Thailand"
Chulalongkorn University,Thailand,Public,ONESQA,6.55,"Bangkok, Thailand"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,6.93,"Zurich, Switzerland"
Nanyang Technological University,Singapore,Public,AACSB,9.86,Singapore
University of Oxford,United Kingdom,Public,QAA,9.68,"Oxford, England, UK"
Mahidol University,Thailand,Public,ONESQA,7.31,"Nakhon Pathom, Thailand"
California Institute of Technology,USA,Private,WASC,9.17,"Pasadena, California, USA"
Massachusetts Institute of Technology,USA,Private,ABET,7.98,"Cambridge, Massachusetts, USA"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.68,"Munich, Germany"
Indian Institute of Technology Delhi,India,Public,NAAC A,7.44,"New Delhi, India"
Tokyo Institute of Technology,Japan,Public,MEXT,8.97,"Tokyo, Japan"
Chulalongkorn University,Thailand,Public,ONESQA,9.67,"Bangkok, Thailand"
Chulalongkorn University,Thailand,Public,ONESQA,7.71,"Bangkok, Thailand"
University of Warwick,United Kingdom,Public,QAA,9.1,"Coventry, England, UK"
University of Helsinki,Finland,Public,FINHEEC,8.32,"Helsinki, Finland"
Tokyo Institute of Technology,Japan,Public,MEXT,6.58,"Tokyo, Japan"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.37,"Chennai, Tamil Nadu, India"
National University of Singapore,Singapore,Public,AACSB,8.51,Singapore
Delft University of Technology,Netherlands,Public,NVAO,9.1,"Delft, Netherlands"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,7.23,"Karlsruhe, Germany"
Indian Institute of Technology Kanpur,India,Public,NAAC A,7.69,"Kanpur, Uttar Pradesh, India"
University College London,United Kingdom,Public,QAA,8.95,"London, England, UK"
Osaka University,Japan,Public,MEXT,6.83,"Osaka, Japan"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,9.83,"Lausanne, Switzerland"
University of Bristol,United Kingdom,Public,QAA,7.46,"Bristol, England, UK"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.1,"Chennai, Tamil Nadu, India"
Jawaharlal Nehru University,India,Public,NAAC A++,7.88,"New Delhi, India"
Stanford University,USA,Private,WASC,7.44,"Stanford, California, USA"
Kyushu University,Japan,Public,MEXT,8.41,"Fukuoka, Japan"
Technical University of Munich,Germany,Public,German Accreditation Council,7.81,"Munich, Germany"
University of California Berkeley,USA,Public,WASC,8.44,"Berkeley, California, USA"
Tokyo Institute of Technology,Japan,Public,MEXT,9.28,"Tokyo, Japan"
Imperial College London,United Kingdom,Public,QAA,9.62,"London, England, UK"
University of Oxford,United Kingdom,Public,QAA,7.77,"Oxford, England, UK"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.17,"Coimbatore, Tamil Nadu, India"
University of Paris,France,Public,HCERES,6.67,"Paris, France"
Heidelberg University,Germany,Public,German Accreditation Council,9.2,"Heidelberg, Germany"
Carnegie Mellon University,USA,Private,MSCHE,6.91,"Pittsburgh, Pennsylvania, USA"
Massachusetts Institute of Technology,USA,Private,ABET,7.39,"Cambridge, Massachusetts, USA"
University of Delhi,India,Public,NAAC A+,7.74,"New Delhi, India"
King's College London,United Kingdom,Public,QAA,9.83,"London, England, UK"
University of Hyderabad,India,Public,NAAC A,7.77,"Hyderabad, Telangana, India"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,7.87,"Bangkok, Thailand"
RWTH Aachen University,Germany,Public,German Accreditation Council,9.38,"Aachen, Germany"
Anna University,India,Public,NAAC A+,7.09,"Chennai, Tamil Nadu, India"
Heidelberg University,Germany,Public,German Accreditation Council,8.25,"Heidelberg, Germany"
Indian Institute of Technology Madras,India,Public,NAAC A++,6.72,"Chennai, Tamil Nadu, India"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,6.56,"Zurich, Switzerland"
Technical University of Munich,Germany,Public,German Accreditation Council,6.88,"Munich, Germany"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,6.81,"Kharagpur, West Bengal, India"
National University of Singapore,Singapore,Public,AACSB,7.18,Singapore
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,6.96,"Bangkok, Thailand"
University of Tokyo,Japan,Public,MEXT,7.55,"Tokyo, Japan"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.35,"Munich, Germany"
RWTH Aachen University,Germany,Public,German Accreditation Council,9.43,"Aachen, Germany"
Yale University,USA,Private,NECHE,7.32,"New Haven, Connecticut, USA"
University of Edinburgh,United Kingdom,Public,QAA,9.79,"Edinburgh, Scotland, UK"
University of Texas Austin,USA,Public,SACSCOC,8.75,"Austin, Texas, USA"
University of Michigan,USA,Public,HLC,6.55,"Ann Arbor, Michigan, USA"
University of Washington,USA,Public,NWCCU,8.3,"Seattle, Washington, USA"
Kyoto University,Japan,Public,MEXT,9.52,"Kyoto, Japan"
University of Bristol,United Kingdom,Public,QAA,9.65,"Bristol, England, UK"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.5,"Kharagpur, West Bengal, India"
Sorbonne University,France,Public,HCERES,8.98,"Paris, France"
University of Michigan,USA,Public,HLC,8.76,"Ann Arbor, Michigan, USA"
Chulalongkorn University,Thailand,Public,ONESQA,6.62,"Bangkok, Thailand"
Manipal Academy of Higher Education,India,Private,NAAC A++,9.58,"Manipal, Karnataka, India"
Hanoi University of Science and Technology,Vietnam,Public,MOET,8.5,"Hanoi, Vietnam"
Imperial College London,United Kingdom,Public,QAA,7.26,"London, England, UK"
Ton Duc Thang University,Vietnam,Public,MOET,8.2,"Ho Chi Minh City, Vietnam"
Massachusetts Institute of Technology,USA,Private,ABET,7.5,"Cambridge, Massachusetts, USA"
Mahidol University,Thailand,Public,ONESQA,7.7,"Nakhon Pathom, Thailand"
Osaka University,Japan,Public,MEXT,8.5,"Osaka, Japan"
University of Delhi,India,Public,NAAC A+,9.8,"New Delhi, India"
Nagoya University,Japan,Public,MEXT,8.15,"Nagoya, Japan"
University of Amsterdam,Netherlands,Public,NVAO,8.65,"Amsterdam, Netherlands"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.13,"Leuven, Belgium"
Nanyang Technological University,Singapore,Public,AACSB,9.54,Singapore
University of Manchester,United Kingdom,Public,QAA,7.24,"Manchester, England, UK"
Jadavpur University,India,Public,NAAC A,8.13,"Kolkata, West Bengal, India"
Indian Institute of Technology Delhi,India,Public,NAAC A,6.65,"New Delhi, India"
London School of Economics,United Kingdom,Public,QAA,7.83,"London, England, UK"
California Institute of Technology,USA,Private,WASC,6.7,"Pasadena, California, USA"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,9.71,"Zurich, Switzerland"
University of Warwick,United Kingdom,Public,QAA,7.34,"Coventry, England, UK"
Technical University of Munich,Germany,Public,German Accreditation Council,9.64,"Munich, Germany"
National University of Singapore,Singapore,Public,AACSB,7.53,Singapore
Indian Institute of Technology Roorkee,India,Public,NAAC A,8.99,"Roorkee, Uttarakhand, India"
University of Chicago,USA,Private,HLC,8.93,"Chicago, Illinois, USA"
University of California Berkeley,USA,Public,WASC,9.06,"Berkeley, California, USA"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,8.75,"Zurich, Switzerland"
University of Delhi,India,Public,NAAC A+,9.04,"New Delhi, India"
King's College London,United Kingdom,Public,QAA,8.81,"London, England, UK"
University of Tokyo,Japan,Public,MEXT,9.33,"Tokyo, Japan"
Kyushu University,Japan,Public,MEXT,7.32,"Fukuoka, Japan"
University of Hyderabad,India,Public,NAAC A,8.2,"Hyderabad, Telangana, India"
Mahidol University,Thailand,Public,ONESQA,7.52,"Nakhon Pathom, Thailand"
University of Delhi,India,Public,NAAC A+,8.96,"New Delhi, India"
King's College London,United Kingdom,Public,QAA,9.71,"London, England, UK"
Chulalongkorn University,Thailand,Public,ONESQA,7.49,"Bangkok, Thailand"
Tohoku University,Japan,Public,MEXT,9.1,"Sendai, Japan"
Tohoku University,Japan,Public,MEXT,9.77,"Sendai, Japan"
Thammasat University,Thailand,Public,ONESQA,9.61,"Bangkok, Thailand"
Banaras Hindu University,India,Public,NAAC A,8.41,"Varanasi, Uttar Pradesh, India"
Kyoto University,Japan,Public,MEXT,6.84,"Kyoto, Japan"
University of Cambridge,United Kingdom,Public,QAA,6.54,"Cambridge, England, UK"
London School of Economics,United Kingdom,Public,QAA,7.14,"London, England, UK"
University of Hyderabad,India,Public,NAAC A,9.42,"Hyderabad, Telangana, India"
Jadavpur University,India,Public,NAAC A,8.02,"Kolkata, West Bengal, India"
University of Edinburgh,United Kingdom,Public,QAA,7.25,"Edinburgh, Scotland, UK"
Columbia University,USA,Private,MSCHE,7.8,"New York City, New York, USA"
Christ University,India,Private,NAAC A+,9.0,"Bengaluru, Karnataka, India"
University of Warwick,United Kingdom,Public,QAA,7.46,"Coventry, England, UK"
Kyushu University,Japan,Public,MEXT,8.24,"Fukuoka, Japan"
University College London,United Kingdom,Public,QAA,8.11,"London, England, UK"
Chulalongkorn University,Thailand,Public,ONESQA,9.42,"Bangkok, Thailand"
University of Oxford,United Kingdom,Public,QAA,9.11,"Oxford, England, UK"
Harvard University,USA,Private,NECHE,7.53,"Cambridge, Massachusetts, USA"
Kyoto University,Japan,Public,MEXT,8.8,"Kyoto, Japan"
RWTH Aachen University,Germany,Public,German Accreditation Council,6.86,"Aachen, Germany"
Heidelberg University,Germany,Public,German Accreditation Council,7.18,"Heidelberg, Germany"
University of Tokyo,Japan,Public,MEXT,8.03,"Tokyo, Japan"
Indian Institute of Technology Kanpur,India,Public,NAAC A,8.58,"Kanpur, Uttar Pradesh, India"
University of California Los Angeles,USA,Public,WASC,6.65,"Los Angeles, California, USA"
Georgia Institute of Technology,USA,Public,SACSCOC,6.86,"Atlanta, Georgia, USA"
Indian Institute of Technology Delhi,India,Public,NAAC A,7.98,"New Delhi, India"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,7.07,"Karlsruhe, Germany"
Indian Institute of Science,India,Public,NAAC A++,6.72,"Bengaluru, Karnataka, India"
Indian Institute of Technology Bombay,India,Public,NAAC A,7.0,"Mumbai, Maharashtra, India"
University of Tokyo,Japan,Public,MEXT,6.51,"Tokyo, Japan"
University of Hyderabad,India,Public,NAAC A,9.03,"Hyderabad, Telangana, India"
Georgia Institute of Technology,USA,Public,SACSCOC,8.51,"Atlanta, Georgia, USA"
University of Texas Austin,USA,Public,SACSCOC,8.77,"Austin, Texas, USA"
Osaka University,Japan,Public,MEXT,7.26,"Osaka, Japan"
University College London,United Kingdom,Public,QAA,9.82,"London, England, UK"
RWTH Aachen University,Germany,Public,German Accreditation Council,8.48,"Aachen, Germany"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.73,"Munich, Germany"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,8.31,"Kharagpur, West Bengal, India"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,9.14,"Karlsruhe, Germany"
Sorbonne University,France,Public,HCERES,7.4,"Paris, France"
Kyushu University,Japan,Public,MEXT,6.57,"Fukuoka, Japan"
Indian Institute of Technology Delhi,India,Public,NAAC A,7.63,"New Delhi, India"
University of Bristol,United Kingdom,Public,QAA,8.43,"Bristol, England, UK"
University of Texas Austin,USA,Public,SACSCOC,7.12,"Austin, Texas, USA"
University of Oxford,United Kingdom,Public,QAA,9.35,"Oxford, England, UK"
Imperial College London,United Kingdom,Public,QAA,8.38,"London, England, UK"
University of Washington,USA,Public,NWCCU,8.41,"Seattle, Washington, USA"
University of Warwick,United Kingdom,Public,QAA,8.12,"Coventry, England, UK"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,7.2,"Leuven, Belgium"
University of California Berkeley,USA,Public,WASC,8.97,"Berkeley, California, USA"
University of Helsinki,Finland,Public,FINHEEC,9.16,"Helsinki, Finland"
London School of Economics,United Kingdom,Public,QAA,8.05,"London, England, UK"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,7.6,"Ho Chi Minh City, Vietnam"
University of Bristol,United Kingdom,Public,QAA,8.13,"Bristol, England, UK"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.65,"Lausanne, Switzerland"
Osaka University,Japan,Public,MEXT,7.49,"Osaka, Japan"
Nagoya University,Japan,Public,MEXT,7.56,"Nagoya, Japan"
Thammasat University,Thailand,Public,ONESQA,8.36,"Bangkok, Thailand"
University of Washington,USA,Public,NWCCU,8.32,"Seattle, Washington, USA"
Nagoya University,Japan,Public,MEXT,8.33,"Nagoya, Japan"
Mahidol University,Thailand,Public,ONESQA,9.18,"Nakhon Pathom, Thailand"
University of Edinburgh,United Kingdom,Public,QAA,6.89,"Edinburgh, Scotland, UK"
University of Cambridge,United Kingdom,Public,QAA,6.66,"Cambridge, England, UK"
Tokyo Institute of Technology,Japan,Public,MEXT,9.06,"Tokyo, Japan"
Thammasat University,Thailand,Public,ONESQA,7.25,"Bangkok, Thailand"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.02,"Kharagpur, West Bengal, India"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,7.44,"Bangkok, Thailand"
Christ University,India,Private,NAAC A+,7.27,"Bengaluru, Karnataka, India"
Nagoya University,Japan,Public,MEXT,7.19,"Nagoya, Japan"
Columbia University,USA,Private,MSCHE,8.25,"New York City, New York, USA"
Harvard University,USA,Private,NECHE,8.84,"Cambridge, Massachusetts, USA"
University of Tokyo,Japan,Public,MEXT,7.99,"Tokyo, Japan"
National University of Singapore,Singapore,Public,AACSB,8.05,Singapore
University of Michigan,USA,Public,HLC,7.6,"Ann Arbor, Michigan, USA"
Georgia Institute of Technology,USA,Public,SACSCOC,7.24,"Atlanta, Georgia, USA"
University of Delhi,India,Public,NAAC A+,8.44,"New Delhi, India"
Ton Duc Thang University,Vietnam,Public,MOET,6.51,"Ho Chi Minh City, Vietnam"
Kyoto University,Japan,Public,MEXT,7.15,"Kyoto, Japan"
University of Warwick,United Kingdom,Public,QAA,8.26,"Coventry, England, UK"
Tohoku University,Japan,Public,MEXT,7.44,"Sendai, Japan"
Ton Duc Thang University,Vietnam,Public,MOET,7.47,"Ho Chi Minh City, Vietnam"
University of Cambridge,United Kingdom,Public,QAA,7.92,"Cambridge, England, UK"
University of Edinburgh,United Kingdom,Public,QAA,7.36,"Edinburgh, Scotland, UK"
Delft University of Technology,Netherlands,Public,NVAO,8.01,"Delft, Netherlands"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,8.1,"Zurich, Switzerland"
University of Manchester,United Kingdom,Public,QAA,8.11,"Manchester, England, UK"
University of Texas Austin,USA,Public,SACSCOC,9.08,"Austin, Texas, USA"
Imperial College London,United Kingdom,Public,QAA,7.47,"London, England, UK"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,8.56,"Kharagpur, West Bengal, India"
University of California Los Angeles,USA,Public,WASC,7.32,"Los Angeles, California, USA"
Christ University,India,Private,NAAC A+,7.32,"Bengaluru, Karnataka, India"
Osaka University,Japan,Public,MEXT,8.34,"Osaka, Japan"
London School of Economics,United Kingdom,Public,QAA,9.21,"London, England, UK"
University of Hyderabad,India,Public,NAAC A,9.47,"Hyderabad, Telangana, India"
Hokkaido University,Japan,Public,MEXT,8.87,"Sapporo, Japan"
Manipal Academy of Higher Education,India,Private,NAAC A++,9.89,"Manipal, Karnataka, India"
National University of Singapore,Singapore,Public,AACSB,9.14,Singapore
California Institute of Technology,USA,Private,WASC,7.16,"Pasadena, California, USA"
University of Edinburgh,United Kingdom,Public,QAA,8.72,"Edinburgh, Scotland, UK"
University of Delhi,India,Public,NAAC A+,9.39,"New Delhi, India"
University of Texas Austin,USA,Public,SACSCOC,9.31,"Austin, Texas, USA"
University of Texas Austin,USA,Public,SACSCOC,9.14,"Austin, Texas, USA"
Stanford University,USA,Private,WASC,9.72,"Stanford, California, USA"
Nagoya University,Japan,Public,MEXT,9.33,"Nagoya, Japan"
University of Manchester,United Kingdom,Public,QAA,9.0,"Manchester, England, UK"
University of Paris,France,Public,HCERES,7.18,"Paris, France"
Christ University,India,Private,NAAC A+,7.02,"Bengaluru, Karnataka, India"
Jadavpur University,India,Public,NAAC A,9.37,"Kolkata, West Bengal, India"
Imperial College London,United Kingdom,Public,QAA,8.85,"London, England, UK"
Technical University of Munich,Germany,Public,German Accreditation Council,8.13,"Munich, Germany"
Harvard University,USA,Private,NECHE,8.49,"Cambridge, Massachusetts, USA"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,6.89,"Lausanne, Switzerland"
Nanyang Technological University,Singapore,Public,AACSB,9.09,Singapore
Mahidol University,Thailand,Public,ONESQA,8.95,"Nakhon Pathom, Thailand"
Georgia Institute of Technology,USA,Public,SACSCOC,8.39,"Atlanta, Georgia, USA"
Harvard University,USA,Private,NECHE,7.88,"Cambridge, Massachusetts, USA"
London School of Economics,United Kingdom,Public,QAA,8.84,"London, England, UK"
Anna University,India,Public,NAAC A+,6.94,"Chennai, Tamil Nadu, India"
London School of Economics,United Kingdom,Public,QAA,6.92,"London, England, UK"
Georgia Institute of Technology,USA,Public,SACSCOC,7.54,"Atlanta, Georgia, USA"
Jawaharlal Nehru University,India,Public,NAAC A++,7.95,"New Delhi, India"
RWTH Aachen University,Germany,Public,German Accreditation Council,6.94,"Aachen, Germany"
Yale University,USA,Private,NECHE,8.87,"New Haven, Connecticut, USA"
Manipal Academy of Higher Education,India,Private,NAAC A++,8.3,"Manipal, Karnataka, India"
Tohoku University,Japan,Public,MEXT,8.54,"Sendai, Japan"
Tokyo Institute of Technology,Japan,Public,MEXT,6.87,"Tokyo, Japan"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.36,"Hanoi, Vietnam"
University of California Berkeley,USA,Public,WASC,9.61,"Berkeley, California, USA"
University of Delhi,India,Public,NAAC A+,8.9,"New Delhi, India"
University of Manchester,United Kingdom,Public,QAA,9.27,"Manchester, England, UK"
University of Delhi,India,Public,NAAC A+,9.5,"New Delhi, India"
Technical University of Munich,Germany,Public,German Accreditation Council,7.89,"Munich, Germany"
University of Copenhagen,Denmark,Public,Danish Accreditation,9.89,"Copenhagen, Denmark"
Nanyang Technological University,Singapore,Public,AACSB,7.57,Singapore
University of Hyderabad,India,Public,NAAC A,6.93,"Hyderabad, Telangana, India"
University of Amsterdam,Netherlands,Public,NVAO,7.66,"Amsterdam, Netherlands"
University of California Los Angeles,USA,Public,WASC,8.2,"Los Angeles, California, USA"
University of Hyderabad,India,Public,NAAC A,8.74,"Hyderabad, Telangana, India"
University of Michigan,USA,Public,HLC,9.75,"Ann Arbor, Michigan, USA"
RWTH Aachen University,Germany,Public,German Accreditation Council,9.81,"Aachen, Germany"
Christ University,India,Private,NAAC A+,8.29,"Bengaluru, Karnataka, India"
Manipal Academy of Higher Education,India,Private,NAAC A++,7.85,"Manipal, Karnataka, India"
Princeton University,USA,Private,MSCHE,7.33,"Princeton, New Jersey, USA"
University of Paris,France,Public,HCERES,8.39,"Paris, France"
University of California Berkeley,USA,Public,WASC,8.47,"Berkeley, California, USA"
Indian Institute of Technology Madras,India,Public,NAAC A++,8.48,"Chennai, Tamil Nadu, India"
Princeton University,USA,Private,MSCHE,8.67,"Princeton, New Jersey, USA"
Indian Institute of Technology Bombay,India,Public,NAAC A,7.81,"Mumbai, Maharashtra, India"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.78,"Hanoi, Vietnam"
University of Bristol,United Kingdom,Public,QAA,9.74,"Bristol, England, UK"
University of Amsterdam,Netherlands,Public,NVAO,7.56,"Amsterdam, Netherlands"
University of Amsterdam,Netherlands,Public,NVAO,6.83,"Amsterdam, Netherlands"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,6.75,"Bangkok, Thailand"
University of Edinburgh,United Kingdom,Public,QAA,6.59,"Edinburgh, Scotland, UK"
Nanyang Technological University,Singapore,Public,AACSB,9.44,Singapore
University of Hyderabad,India,Public,NAAC A,6.61,"Hyderabad, Telangana, India"
Vellore Institute of Technology (VIT),India,Private,"ABET, NAAC A++",8.2,"Vellore, Tamil Nadu, India"
Manipal Academy of Higher Education (MAHE),India,Private,NAAC A++,8.0,"Manipal, Karnataka, India"
BITS Pilani,India,Private,"UGC, NAAC A",8.8,"Pilani, Rajasthan, India"
SRM Institute of Science and Technology,India,Private,NAAC A++,7.8,"Chennai, Tamil Nadu, India"
Amity University,India,Private,"WASC, NAAC A+",7.5,"Noida, Uttar Pradesh, India"
University of Mesa,United States,Public,NAAC A+,8.3,"Mesa, USA"
San Diego State University,United States,Private,WASC,7.8,"San Diego, USA"
Oakland State University,United States,Private,ABET,7.0,"Oakland, USA"
Montana State University,United States,Private,Regional Accreditation,8.3,"Montana, USA"
University of Colorado Springs,United States,Public,National Accreditation,6.8,"Colorado Springs, USA"
Georgia State University,United States,Private,National Accreditation,9.1,"Georgia, USA"
University of Fresno,United States,Public,"EQUIS, Regional Accreditation",6.9,"Fresno, USA"
Delaware State University,United States,Private,"Regional Accreditation, NAAC A++",9.8,"Delaware, USA"
Nebraska State University,United States,Private,AACSB,9.8,"Nebraska, USA"
University of Fort Worth,United States,Public,"National Accreditation, NAAC A+",6.6,"Fort Worth, USA"
University of Oklahoma,United States,Private,NAAC A++,9.4,"Oklahoma, USA"
Milwaukee International University,United States,Public,National Accreditation,5.7,"Milwaukee, USA"
Philadelphia Institute of Technology,United States,Public,"AMBA, National Accreditation",5.7,"Philadelphia, USA"
University of New Hampshire,United States,Public,EQUIS,8.6,"New Hampshire, USA"
University of Wyoming,United States,Public,NAAC A++,5.1,"Wyoming, USA"
University of Charlotte,United States,Private,"NAAC A+, Regional Accreditation",5.6,"Charlotte, USA"
Florida State University,United States,Public,EQUIS,5.3,"Florida, USA"
North Carolina State University,United States,Private,NAAC A++,7.5,"North Carolina, USA"
University of Philadelphia,United States,Private,"EQUIS, NAAC A++",9.3,"Philadelphia, USA"
New York State University,United States,Private,"EQUIS, WASC",8.7,"New York, USA"
Washington State University,United States,Private,"AACSB, Regional Accreditation",9.0,"Washington, USA"
Miami State University,United States,Private,"EQUIS, WASC",8.2,"Miami, USA"
University of Nashville,United States,Public,WASC,7.0,"Nashville, USA"
Oklahoma City Global University,United States,Private,Regional Accreditation,8.0,"Oklahoma City, USA"
University of West Virginia,United States,Private,"WASC, AACSB",8.4,"West Virginia, USA"
Miami International University,United States,Public,Regional Accreditation,6.6,"Miami, USA"
Minnesota Global University,United States,Public,"Regional Accreditation, NAAC A++",6.9,"Minnesota, USA"
Arizona A&M,United States,Public,"NAAC A++, NAAC A++",5.5,"Arizona, USA"
University of Ohio,United States,Private,Regional Accreditation,8.6,"Ohio, USA"
Arizona State University,United States,Private,"AMBA, WASC",5.0,"Arizona, USA"
Baltimore Tech,United States,Private,"NAAC A++, ABET",9.3,"Baltimore, USA"
University of Missouri,United States,Public,"AACSB, AMBA",7.9,"Missouri, USA"
Kentucky A&M,United States,Public,"NAAC A++, NAAC A++",9.7,"Kentucky, USA"
Iowa International University,United States,Public,AMBA,5.7,"Iowa, USA"
Alabama State University,United States,Private,"ABET, AMBA",7.0,"Alabama, USA"
University of Indianapolis,United States,Public,"NAAC A++, NAAC A++",6.4,"Indianapolis, USA"
Hawaii Institute of Technology,United States,Private,"Regional Accreditation, AMBA",9.6,"Hawaii, USA"
Wyoming State University,United States,Public,"AACSB, AMBA",9.6,"Wyoming, USA"
University of Louisville,United States,Private,"AMBA, ABET",5.6,"Louisville, USA"
University of Jacksonville,United States,Public,"ABET, Regional Accreditation",7.8,"Jacksonville, USA"
University of New Jersey,United States,Private,ABET,8.1,"New Jersey, USA"
Rhode Island Global University,United States,Private,AACSB,5.9,"Rhode Island, USA"
